org.apache.commons.math.complex.Complex:1179	2.0 0.0 1.0
org.apache.commons.math.util.FastMath:3039	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:3040	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1267	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:2832	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:2833	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:2834	0.0 5.0 0.0
org.apache.commons.math.util.FastMath:2608	0.0 7.0 0.0
org.apache.commons.math.util.FastMath:2693	0.0 3.0 0.0
org.apache.commons.math.util.FastMath:2597	0.0 10.0 0.0
org.apache.commons.math.util.FastMath:835	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1380	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1381	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1382	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1383	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1384	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1387	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1388	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1389	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1390	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1393	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1394	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1396	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1398	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1399	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1401	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1402	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1403	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1406	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1407	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1409	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1410	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1411	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1415	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1416	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1424	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1425	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1426	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1480	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1481	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1560	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1562	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1566	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1571	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1600	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1611	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1623	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1647	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1661	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1678	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1679	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1680	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1681	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1682	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1690	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1691	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1695	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1696	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1699	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1700	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1701	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1702	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1705	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1706	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1708	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1709	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1711	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1712	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1713	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1714	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1715	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1716	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1718	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:1720	0.0 4.0 0.0
org.apache.commons.math.util.FastMath:3055	0.0 1.0 0.0
org.apache.commons.math.util.FastMath:3056	0.0 1.0 0.0
org.apache.commons.math.util.FastMath:2983	0.0 1.0 0.0
org.apache.commons.math.util.FastMath:2984	0.0 1.0 0.0
org.apache.commons.math.util.FastMath:2974	0.0 1.0 0.0
org.apache.commons.math.util.FastMath:3383	0.0 7.0 0.0
org.apache.commons.math.util.MathUtils:1020	0.0 1.0 0.0
org.apache.commons.math.util.MathUtils:1054	0.0 7.0 0.0
org.apache.commons.math.util.MathUtils:1057	0.0 7.0 0.0
org.apache.commons.math.util.MathUtils:443	0.0 14.0 0.0
org.apache.commons.math.util.MathUtils:1632	0.0 14.0 0.0
org.apache.commons.math.util.MathUtils:2335	0.0 1.0 0.0
org.apache.commons.math.util.MathUtils:1946	0.0 6.0 0.0
org.apache.commons.math.util.MathUtils:1948	0.0 6.0 0.0
org.apache.commons.math.util.MathUtils:1950	0.0 6.0 0.0
org.apache.commons.math.exception.MathIllegalArgumentException:37	0.0 2.0 0.0
org.apache.commons.math.exception.MathIllegalArgumentException:44	0.0 2.0 0.0
org.apache.commons.math.exception.MathIllegalArgumentException:45	0.0 2.0 0.0
org.apache.commons.math.exception.MathIllegalArgumentException:46	0.0 2.0 0.0
org.apache.commons.math.exception.MathIllegalNumberException:46	0.0 1.0 0.0
org.apache.commons.math.exception.MathIllegalNumberException:47	0.0 1.0 0.0
org.apache.commons.math.exception.MathIllegalNumberException:48	0.0 1.0 0.0
org.apache.commons.math.exception.NullArgumentException:41	0.0 1.0 0.0
org.apache.commons.math.exception.NullArgumentException:42	0.0 1.0 0.0
org.apache.commons.math.exception.NullArgumentException:50	0.0 1.0 0.0
org.apache.commons.math.exception.NullArgumentException:51	0.0 1.0 0.0
org.apache.commons.math.exception.NumberIsTooLargeException:67	0.0 1.0 0.0
org.apache.commons.math.exception.NumberIsTooLargeException:69	0.0 1.0 0.0
org.apache.commons.math.exception.NumberIsTooLargeException:70	0.0 1.0 0.0
org.apache.commons.math.exception.NumberIsTooLargeException:71	0.0 1.0 0.0
